view_count,likes,dislikes,comment_count,published_year,published_month,published_day,published_hour,published_minute,published_week
7257830,302116,0,5821,2022,3,19,14,0,11
64235086,930799,0,130820,2022,9,15,9,0,37
27474046,1246512,0,51743,2022,5,24,1,46,21
29441460,2035158,24827,120317,2021,1,22,21,0,3
17695689,1181921,7736,151185,2021,10,25,9,1,43
57663378,3252834,42447,192392,2021,3,27,20,0,12
11161912,617273,7269,33734,2020,9,22,17,45,39
42034380,853312,0,160303,2022,2,22,9,0,8
19961117,1266508,0,42423,2022,9,3,19,59,35
23477824,1162996,19918,50391,2020,11,14,21,0,46
22523635,1807465,18387,109536,2021,1,22,21,0,3
62467391,2727921,55016,873345,2020,10,26,8,59,44
4717722,625490,2338,35207,2021,10,9,15,0,40
6709451,342374,10135,28180,2020,8,31,18,34,36
10302939,2043638,4960,83995,2021,7,13,12,0,28
9831842,1074235,8725,34355,2020,10,11,9,27,41
2564725,286226,1759,15663,2021,9,27,4,0,39
2141237,600316,3595,51008,2020,9,25,4,0,39
16242445,1385555,13131,103914,2020,8,13,20,0,33
1638240,84951,0,2313,2022,3,17,16,0,11
2844391,210972,0,11686,2022,8,26,18,0,34
10459858,496877,6058,21235,2021,9,29,18,15,39
8144963,521227,7749,32530,2020,9,21,21,59,39
5320753,249677,0,5179,2022,3,19,14,0,11
16704233,2437545,30248,91088,2020,9,26,1,0,39
5392204,225191,3710,8154,2021,10,11,22,0,41
42117982,5840152,93964,377938,2020,8,24,15,0,35
11344558,426823,7996,20905,2020,10,19,22,0,43
25808066,2330217,31625,683236,2020,10,26,8,59,44
14564372,640632,0,24597,2022,3,23,18,0,12
14023385,755802,9461,32602,2021,9,13,13,0,37
7011014,373355,0,11868,2022,7,22,19,0,29
32504376,2148727,27013,128304,2021,1,22,21,0,3
2545640,91965,0,3014,2022,3,21,16,0,12
5729997,1119081,0,54340,2022,4,23,1,0,16
7536889,1067462,5650,16707,2021,3,12,5,2,10
2996085,141639,0,5221,2022,9,10,14,0,36
137068663,10926910,67027,527142,2021,11,24,21,0,47
6077282,319994,6443,28684,2020,12,7,23,0,50
37983952,2330077,0,84216,2021,12,18,21,0,50
13241218,1534588,11379,299833,2021,4,26,8,59,17
15513028,1262409,6342,104743,2021,11,29,8,59,48
28254624,1279413,29610,69442,2020,11,28,21,0,48
28386495,1521058,18896,85117,2021,3,13,21,0,10
7384764,968061,11600,52998,2021,8,2,23,0,31
31738068,2120999,26411,125882,2021,1,22,21,0,3
65185906,1703263,60576,264810,2021,5,17,9,0,20
11280509,1181608,5748,63224,2020,8,31,3,16,36
7890092,2291858,3242,141162,2021,7,8,15,0,27
2872915,97524,0,3104,2022,3,21,16,0,12
7436138,488355,4327,28199,2021,5,12,18,18,19
17337452,2011279,0,109762,2022,6,14,12,0,24
1389320,73820,603,3519,2021,6,28,13,0,26
17439738,2626573,0,66184,2022,6,13,12,27,24
10825271,2149219,20520,82853,2020,9,26,1,0,39
41031539,1077340,0,63131,2022,5,2,8,58,18
18063884,812796,0,49033,2022,5,2,8,58,18
4985975,1049131,0,53093,2022,4,23,1,0,16
24112848,3553853,16871,131393,2021,5,30,10,0,21
8514708,398192,5793,24600,2020,11,2,19,0,45
9187623,416312,5656,19555,2021,6,28,22,0,26
10962966,1239873,14369,37075,2020,10,3,4,0,40
4556301,197067,5316,18999,2021,12,6,23,0,49
3501252,472387,0,23982,2022,2,14,9,0,7
10873334,598249,9494,36365,2020,9,21,21,59,39
3939138,986650,3637,40908,2020,9,21,11,0,39
10191002,382325,7652,40770,2020,12,28,22,59,53
66327085,1562455,0,260136,2022,7,15,3,58,28
5461631,333879,3165,23666,2020,12,20,20,4,51
37754332,1625598,15468,461290,2020,11,23,9,0,48
5313226,200610,0,6649,2022,9,10,14,0,36
7155659,1027964,9869,48909,2021,6,24,15,0,25
6541192,294478,4789,32034,2021,3,22,22,0,12
1157649,337565,0,16659,2022,3,9,15,0,10
5145963,614244,4239,46233,2021,2,13,9,0,6
6163834,266230,2534,23111,2021,10,25,21,59,43
6000406,233038,0,4126,2022,4,16,14,0,15
533503,44013,0,1347,2022,1,27,18,0,4
43966967,5900656,96097,379583,2020,8,24,15,0,35
45596902,5951288,97683,382374,2020,8,24,15,0,35
43650819,3066241,0,125253,2022,6,4,20,0,22
35263482,1403409,0,54979,2022,5,24,1,46,21
17606313,1154018,0,55471,2022,8,22,16,0,34
9893012,435936,7151,15101,2021,1,11,23,0,2
6302561,359818,3536,24888,2020,12,20,20,4,51
2357004,431961,2663,21483,2020,12,17,1,0,51
23338947,1250324,0,57985,2022,8,22,16,0,34
18751825,1271891,29752,83229,2020,10,18,0,19,42
37643677,1438432,0,55925,2022,5,24,1,46,21
9238468,899639,0,49269,2022,8,22,16,0,34
9038619,470356,6716,26990,2020,8,31,21,59,36
3631029,948276,3012,40132,2020,9,21,11,0,39
8704173,327346,6018,35348,2021,3,22,22,0,12
7488994,878509,7952,117117,2021,4,5,9,0,14
9735247,1368799,11492,231447,2021,2,15,9,0,7
10969526,363383,6747,24280,2021,6,25,0,54,25
11985913,1483197,10816,285791,2021,4,26,8,59,17
5851496,428584,4649,38106,2021,1,13,20,8,2
17574586,592250,12269,51666,2021,4,7,18,45,14
12171283,401862,8181,24280,2020,12,14,23,0,51
3383420,829940,2417,51016,2021,3,4,23,30,9
9056325,416623,6603,14680,2021,1,11,23,0,2
7434763,1960930,6917,76215,2021,9,10,4,0,36
9378053,505797,7592,42391,2021,1,13,20,8,2
8424200,663908,0,32403,2022,2,14,9,0,7
4894104,457655,5091,20692,2021,11,10,4,59,45
11727487,564167,0,22689,2022,3,23,18,0,12
53016147,2669605,50580,838529,2020,10,26,8,59,44
66472107,6415881,53301,1313781,2021,3,12,5,0,10
19704087,1319055,10620,281827,2020,10,19,9,0,43
48670920,1613442,51947,246652,2021,5,17,9,0,20
31457820,2700253,18037,177784,2021,1,9,21,1,1
16389219,1961404,0,108251,2022,6,14,12,0,24
55419453,6284727,17261,362077,2021,11,24,21,0,47
34246212,721540,0,80657,2022,9,15,9,0,37
779133,145774,0,3176,2022,3,19,9,0,11
11996817,557838,9163,45090,2021,1,13,20,8,2
10512720,416919,7504,21269,2021,1,25,22,59,4
617933,37613,368,3626,2020,11,9,14,36,46
60998297,902086,0,123903,2022,9,15,9,0,37
22082015,1330260,23632,78684,2020,8,8,20,0,32
35900242,3666601,0,567210,2022,7,29,4,0,30
851044,59455,0,1700,2022,1,27,18,0,4
6105943,902749,9949,51165,2021,8,2,23,0,31
13014369,903856,14063,51120,2020,11,28,21,0,48
6870056,528460,0,24758,2022,9,16,19,0,37
13705348,770865,13200,54108,2021,8,25,18,10,34
7385383,358316,7545,31440,2020,12,7,23,0,50
36807357,1428917,0,55607,2022,5,24,1,46,21
8860084,491943,0,21155,2022,3,23,18,0,12
4493892,281390,3303,15506,2020,10,19,22,0,43
19995564,1141050,7376,334668,2021,3,30,9,1,13
36548797,2281520,0,81787,2021,12,18,21,0,50
8193490,487593,3725,32494,2021,5,17,21,59,20
4592027,271644,0,13787,2022,8,26,18,0,34
668771,38299,419,3632,2020,11,9,14,36,46
8065542,2297579,3309,134169,2021,7,8,15,0,27
8969984,1328437,8737,245401,2021,4,26,8,59,17
6619423,1603074,5385,83527,2020,9,23,13,55,39
103691157,7244067,96144,1559327,2021,3,12,5,0,10
41364831,830131,0,157171,2022,2,22,9,0,8
1240855,76093,0,1937,2022,1,27,18,0,4
12399230,452936,8428,22855,2021,1,25,22,59,4
29736789,1322974,0,42829,2022,6,1,18,0,22
13183396,1764839,9527,193784,2021,10,12,8,56,41
23775555,2515007,30222,239601,2021,9,7,15,0,36
11379384,389431,7817,23628,2020,12,14,23,0,51
15980809,729950,8934,37043,2021,5,12,18,18,19
2081996,689777,1086,45270,2021,3,4,23,30,9
61410869,3674668,0,143760,2022,6,4,20,0,22
6342124,238152,0,4186,2022,4,16,14,0,15
8770670,586095,7329,60393,2021,6,6,14,59,22
13692888,1604645,0,61284,2022,6,13,12,27,24
25097721,1242914,0,41204,2022,6,1,18,0,22
21869315,2009873,0,96538,2022,6,4,20,0,22
10085290,421484,4621,15734,2021,5,31,21,59,22
36355140,1420913,0,55329,2022,5,24,1,46,21
30838609,2087667,25745,123521,2021,1,22,21,0,3
9687984,412407,4485,15468,2021,5,31,21,59,22
9203123,463396,4734,26934,2020,10,31,19,4,44
4381866,230587,0,5904,2022,1,24,22,59,4
5443252,218226,2617,5622,2021,8,23,22,3,34
26558407,1520352,13454,78829,2021,6,1,20,0,22
72593468,1734529,62902,275245,2021,5,17,9,0,20
7016862,398090,3686,24391,2020,10,31,19,4,44
6264626,972672,8689,46972,2021,6,24,15,0,25
14160202,1211241,0,159443,2022,7,15,3,58,28
4778734,606332,3691,45812,2021,2,13,9,0,6
8471853,1719470,9562,453161,2020,10,26,8,59,44
6446561,507477,0,24158,2022,9,16,19,0,37
5688142,253954,2390,22547,2021,10,25,21,59,43
15272766,581332,9280,30946,2021,5,22,18,38,20
18947828,1769788,15651,513769,2021,8,23,8,59,34
8455129,1766000,6493,31075,2021,9,10,4,2,36
9659589,344946,6386,37312,2021,3,22,22,0,12
25809694,2824886,27858,36622,2021,7,23,13,0,29
10844646,436683,4952,16306,2021,5,31,21,59,22
30983671,1577041,14531,447991,2020,11,23,9,0,48
15360879,1911985,0,105228,2022,6,14,12,0,24
